pathway,category,display_order
Regulation of actin cytoskeleton,Cellular motility and signaling,4
Gap junction,Cellular motility and signaling,5
Focal adhesion,Cellular motility and signaling,6
Thyroid hormone signaling pathway,Endocrine system,8
Relaxin signaling pathway,Endocrine system,9
Prolactin signaling pathway,Endocrine system,10
Oxytocin signaling pathway,Endocrine system,11
Insulin signaling pathway,Endocrine system,12
GnRH signaling pathway,Endocrine system,13
Glucagon signaling pathway,Endocrine system,14
Adipocytokine signaling pathway,Endocrine system,15
NOD-like receptor signaling pathway,Immune system,16
IL-17 signaling pathway,Immune system,17
Chemokine signaling pathway,Immune system,18
Toll-like receptor signaling pathway,Immune system,19
Th17 cell differentiation,Immune system,20
T cell receptor signaling pathway,Immune system,21
Platelet activation,Immune system,22
Neutrophil extracellular trap formation,Immune system,23
Natural killer cell mediated cytotoxicity,Immune system,24
Leukocyte transendothelial migration,Immune system,25
Fc gamma R-mediated phagocytosis,Immune system,26
Fc epsilon RI signaling pathway,Immune system,27
Complement and coagulation cascades,Immune system,28
C-type lectin receptor signaling pathway,Immune system,29
TNF signaling pathway,Signal transduction,30
Ras signaling pathway,Signal transduction,31
Phospholipase D signaling pathway,Signal transduction,32
NF-kappa B signaling pathway,Signal transduction,33
MAPK signaling pathway,Signal transduction,34
HIF-1 signaling pathway,Signal transduction,35
FoxO signaling pathway,Signal transduction,36
ErbB signaling pathway,Signal transduction,37
Wnt signaling pathway,Signal transduction,38
VEGF signaling pathway,Signal transduction,39
TGF-beta signaling pathway,Signal transduction,40
mTOR signaling pathway,Signal transduction,41
Apelin signaling pathway,Signal transduction,42
